,comments,likes
0,저희 아버지께서 다이너스티만 2대 모셨었는데 차 튼튼하고 옵션도 당시엔 최고급사양이 많이 적용되었죠.. 다만 살벌한 연비와 진짜 감가가... 1번째차는 고속도로에서 4중추돌나서 폐차했는데 당시 차 휀다만 좀 박살나고 모두 아무일없이 내렸을만큼 튼튼했어요,24
1,와....저시절 진짜 회장님 차로 나타났던 다이너스티....그랜저 판박이같은데 왠지 더 웅장해서 포스장난아니었던...저차단종됬을때 안타까웠는데.....우얼.....부활이라니!!각이상한 그 그랜저보다 이차가 더 기대됨!,20
2,하루에 2편 올리는 어나더레벨 우파님....,23
3,승차감 갑오브더갑인 차였습니다.2.5/3.0/3.5 다 타봤지만 지금도 다이너스티의 승차감이 생각날정도입니다.사악한 부품비와감당하기 힘든 엔진열ㅜㅜ그래도 옛날추억이 따오르는 영상 잘봤습니다!,4
4,저희 외할아버지도 98년에 다이너스티 3.5 리무진을 사셨는데. 2016년에 수명이 다 되어서 저 2학년때 그차를 견인해서 같이 페차장가서 페차한 생각이 났네요.. 그차도 참 좋았습니다.,3
5,그 당시 최고근엄차,11
6,어릴땐 진짜 고급차로 우러러봤었는데..한국이 정말 잘사는 나라가 됐구나,12
7,저시절 아버지차였는데 ㅋ진짜 탱크처럼 묵직한 차였슴 근데 서스가 넘 물렁물렁 승차감은 좋았는데 고속운행중 잘못 까닥 핸들 꺽으면 피쉬테일로 식겁한적이 있었네요 ㅋ  요즘차처럼 접지력 테스트 한다고 핸들 요리조리 돌리다간 골로 갑니다 ㅋㅋ,4
8,정말 최고에 차였죠 ^^지나가는것만 봐도 설레이던 ㅎㅎ,2
9,옛날 아버지 차였던.... 디자인 진짜 죽인다,5
10,어렸을적 부산에 계시는 할아버지가 타셨었는데... 그립네요. 핸들에 크락션 버튼이 따로있는게 신기했었는데 ㅎㅎ,2
11,모범택시로 다시 떡상한 다이너스티 반갑다 ㅜㅜ,9
12,저 초딩때 아버지께서 중고로 다이너스티 리무진 사오셨는데 뒷자리 움직이는거 정말 신기해했던 기억이 나네요 그리고 이름도 금색이라 친구들이 부러워했었는데,4
13,출근할때 매일 같은시간에 타고 다니시는분 보는데 괴기한 요즘 현기차들보다 훨 멋있음,3
14,우리집 옛날차였는데 오래보유 안했었는데이유가 있었네요 ㅎㅎ,2
15,저당시 포스는 지렸었지 ㅎㅎ,3
16,차에 관심 없을때 이차만 봐도 수입차 보다 좋아보였던 그런차였네요ㅎㅎㅎㅎ,3
17,아버지 택시로100만키로 넘게 타시고 폐차하셧는데 정말 승차감 하나는 겁나좋앗음 .,3
18,10여년전 토스카를 인생 첫차로 중고차로 구매했었는데 정말 만족했었는데 추억의차 토스카 리뷰도 가능한가요?ㅎ ㅎ,4
19,집에 아버지가 택시를 하셔서 다이너스티 자주색(v6 3000) 있었습니다 ㅋㅋㅋ이거타고 학교앞에 내리면 다쳐다보던 생각이나네요 ㅋㅋㅋ,2
20,중고 뉴그랜져를 껍데기 바꾸면다이너스티로 변경도 가능했습니다 ㅎㅎ,3
21,불과 얼마전까지도 아부지의 다이너스티 끝까지 타시고 GV80으로 넘어가셨는데  ㅎㅎ,4
22,에쿠스 나오기전 최고급차 였죠,4
23,아버지가 다이너스티 타셨는데 진짜 좋았음,2
24,형..마르샤요..겁나 좋았는데 포지션이 어정쩡해서..매니아들만 아는차,7
25,옛날에 이 차만 보면 울었는데 추억이다,2
26,이거 승차감이 아주 쩔었지,3
27,진짜 시트가 엄청편한차량이죠.,3
28,우와 현대 다이너스티  길거리에  잘 없는데 영상으로보니깐 더욱 반갑네요,2
29,아버지 차로 첫 운전연수를 다이너스티로 했던기억이 나네요 ㅋㅋㅋ,3
30,초딩때 다이너스티 나왔는데 꼭 타보고싶은 차..지금도 매물이 괜찮은게 별로 없어서 못 사고있어요ㅠㅠ,4
31,아슬란에 비하면 다이너스티는 인기 정말좋았었는데,4
32,와…다이너스티 ㄷㄷ,3
33,멋집니다 다이너스티 좋네요,3
34,오 다이너스티! 명기차!!,3
35,오늘의 차차 포인트 14:43,3
36,내가 젤 좋아하는 우리나라 올드카다..솔직히 저 디자인은 못 따라오지,3
37,그랜저 앞뒤로 사고나면 다이너스티로 개조 많이 했어요ㅋㅋ,3
38,솔직히 그냥 다이너스티 후속말고 제네시스에서 쓰는 후륜베이스로 에쿠스이름달고 가격은 g80정도 가격대로 g90느낌으로 가면 좋을텐데.,2
39,오늘도 멌있는 자동차영상 잘보고갑니다.,3
40,"XG는 마르샤 후속으로 나왔고, 그렌져의 위치를 다이너스티로 교체한 뒤 단종시키려다, 그렌져란 이름이 아까워서 마르샤 타이틀을 버리고 그렌져라고 바꿔버렸다고 합니다ㅋ",3
41,"다이너스티,아카디아,엔터프라이즈3사 비운의 명차..",3
42,우파님  그랜저XG도   리뷰해주세요,3
43,부활하면 꼭 사고 싶은 차량이네요.,2
44,옛날에 우리 아버지 자가용도 다이너스티 3.5퍼스트클래스 이였는데,2
45,"97년식 3.5 리무진 ,04년 2.5 두대 갖고있다가..2년전에 팔고 지금은 04년식 3.0 1대 갖고있습니다. 리무진은 괜히 팔았어요ㅠ",3
46,"최근에 다이너스티,2세대 그랜저 본 대학생입니다. 이 2대차량을 첫차로 타고싶습니다...ㅠㅠ",1
47,조선반도에 마지막 고급세단은 다이너스티가 정점을찍고 에쿠스로 마감찍었지지구공 지팔공의 아바이,3
48,명차지 다이너스티3.5승차감 지렷딘,2
49,에쿠스도 해주세요 우파님!!,3
50,아버지께서뉴그랜져 2세대 > 각쿠스 > 신쿠스 > G90 순으로 타셔서  다이너스티를 타보진 못했으나언제나 현대차도 기함은 품위있게제역할을 했던 것 같네요,1
51,우파형님 가면갈수록 잘생겨지시네,4
52,0:33 i knew it She's (현대 다이너스티) appeared in SBS Taxi Driver. ,1
53,아빠덜 다티3.5 탔는데 개조용했음,2
54,다음에는 세이블 한 번 갑시다...,3
55,옛 정취물신 지금옆집 다이너스티 마지막 테일램프 끝부분 노랑색에서 흰색으로 바뀐차 있네요,3
56,다이너스티는 뉴그랜저 후옥이라 보고 xg는 마르샤 후속이라 봅니다,3
57,헐...대학때 저희집차가  3.5 리무진었는데...세월이참....,2
58,이젠 그랜저 신형이 다이너스티만해진다고 하니 사실상 부활...ㅋㅋ,3
59,본넷 트렁크 빼면 실내는 좁고 2열 가운데 턱이높아서 불편했던 기억있네요^^,2
60,7:32 아슬란 나왔다가 어슬렁 사라진다ㅋㅋㅋㅋㅋㅋㅋ라임재밌네ㅋㅋㅋㅋㅋㅋ,3
61,외제차 올드카도 소개해주세요~ 어렸으때 폰티악 파이어드 봤을때 전격z작전의 키트를 보는줄 알았어요 외제차 올드카도 부탁드려요,2
62,우파님 기아 카스타 리뷰 해주세요~,4
63,모범택시 보고 빠진 일인..,2
64,아버지가 아반떼 타고 다니다가 사업이 잘되서 2001년도에 다이너스티 뽑으셨어요. 제가 2002년도에 초1이였는데 아빠가 아침에 태워다주면 담임선생님이 등교길에서 학생들 맞이할때 저보면 너네집 부자야? 이러면서 놀리곤 햇는데.. 지금은 완전 오래된 차네요. 승차감하나는 진짜 죽입니다.옛날기억에 아버지타면 잠이 솔솔왓습니다.,8
65,빽다이..쩔엇징,2
66,우리동네 관리잘된 다이너스티 있는데.....여유가 되면 하나쯤 같고 싶은차....,2
67,중학교때 친구아버지차가 롱바디였어요~정확한이름이 다이너스티리무진 이예요~,2
68,옛날 제네시스 느낌,2
69,기회되면 기아포텐샤도한번ㅎㅎ,1
70,다이너스티 오랜만이네요,2
71,쏘렌토 하이브리드 엔진오일 증가 내용좀 다루어주세요.,2
72,와우 ㅎㅎ,3
73,잘봤습니다!!! 우파님 벤츠 c200 amg 나온데용!,2
74,우리 옛날 아버지차였는데.....아버지 돌아가시고 어머니가 기름많이들어 차바꾸면서 운전도못해보고  아쉬운차량입니다.......,2
75,아슬란이 다이너스티란 이름을 가지고 나왔었으면 좋았을 텐데………,3
76,가격 정책이 맞아 떨어질까 하는 생각을 해봄. 지금도 그랜져 옵션 좀 붙이면 제네시스 G70값 인데 ;;; 나온다고 해도 K9이랑 포지션이 또 겹칠거 같은데 과연....,4
77,Legendary ,2
78,지린다,2
79,아반떼n 벨로n이런거 말고 엘란 티뷰론 부활했으면 좋겠다,2
80,예맛 체어맨도 해주세요,2
81,물침대의 대명사로 기억함  엄청편햇던기억,2
82,본네트에 앰블럼이 링컨을 빼닮았네요,3
83,모범택시로 떡상,1
84,예전 우리아버지 차네 97년인가 그때 타셨었는데,2
85,아빠가 완전 옛날에 타던거다 ㅋㅋ,1
86,경남양산에 파란다이너스티 있던데......방치차였어요.,1
87,11:08 미쓰비시 로고.? 2002년  월드컵 공식파트너. 후원사 스티커 인거 같습니다.,1
88,혹시 며칠 전에 우파님께서 그랜저 윗등급 차가 나온다고 하셨는데 혹시 그게 이거...??!?!,2
89,어릴때 다이너마이트 라고 불럿는데 ㅋㅋ,3
90,다 부활해라~,2
91,엔터프라이즈가 간지였는데,2
92,저는 옛날 초등학생때 장미색 봤던 기억이납니다,2
93,국산차중 유일하게 에어서스 드갓던차아닙니까,3
94,오늘 현대 올드카 ㅋㅋㅋㅋㅋㅋ 다이너스티,2
95,아슬란의 원조 다이너스티,3
96,1986년식인데 어케 운전석 조수석 에어백이 있음?,2
